text,label
1F600,0
1F603,0
1F604,0
1F601,0
1F606,0
1F605,0
1F923,0
1F602,0
1F642,0
1F643,0
1F609,0
1F60A,0
1F607,0
1F970,0
1F60D,0
1F929,0
1F618,0
1F617,0
263A FE0F,0
263A,0
1F61A,0
1F619,0
1F972,0
1F60B,0
1F61B,0
1F61C,0
1F92A,0
1F61D,0
1F911,0
1F917,0
1F92D,0
1F92B,0
1F914,0
1F910,0
1F928,0
1F610,0
1F611,0
1F636,0
1F60F,0
1F612,0
1F644,0
1F62C,0
1F925,0
1F60C,0
1F614,0
1F62A,0
1F924,0
1F634,0
1F637,0
1F912,0
1F915,0
1F92,0
1F92E,0
1F927,0
1F975,0
1F976,0
1F974,0
1F635,0
1F92F,0
1F920,0
1F973,0
1F978,0
1F60E,0
1F913,0
1F9D0,0
1F615,0
1F61F,0
1F641,0
2639 FE0F,0
2639,0
1F62E,0
1F62F,0
1F632,0
1F633,0
1F97A,0
1F626,0
1F627,0
1F628,0
1F630,0
1F625,0
1F62,0
1F62D,0
1F631,0
1F616,0
1F623,0
1F61E,0
1F613,0
1F629,0
1F62B,0
1F971,0
1F624,0
1F621,0
1F620,0
1F92C,0
1F608,0
1F47F,0
1F480,0
2620 FE0F,0
2620,0
1F4A9,0
1F921,0
1F479,0
1F47A,0
1F47B,0
1F47D,0
1F47E,0
1F916,0
1F63A,0
1F638,0
1F639,0
1F63B,0
1F63C,0
1F63D,0
1F640,0
1F63F,0
1F63E,0
1F648,0
1F649,0
1F64A,0
1F48B,0
1F48C,0
1F498,0
1F49D,0
1F496,0
1F497,0
1F493,0
1F49E,0
1F495,0
1F49F,0
2763 FE0F,0
2763,0
1F494,0
2764 FE0F,0
2764,0
1F9E1,0
1F49B,0
1F49A,0
1F499,0
1F49C,0
1F90E,0
1F5A4,0
1F90D,0
1F4AF,0
1F4A2,0
1F4A5,0
1F4AB,0
1F4A6,0
1F4A8,0
1F573 FE0F,0
1F573,0
1F4A3,0
1F4AC,0
1F441 FE0F 200D 1F5E8 FE0F,0
1F441 200D 1F5E8 FE0F,0
1F441 FE0F 200D 1F5E8,0
1F441 200D 1F5E8,0
1F5E8 FE0F,0
1F5E8,0
1F5EF FE0F,0
1F5EF,0
1F4AD,0
1F4A4,0
1F44B,0
1F44B 1F3FB,0
1F44B 1F3FC,0
1F44B 1F3FD,0
1F44B 1F3FE,0
1F44B 1F3FF,0
1F91A,0
1F91A 1F3FB,0
1F91A 1F3FC,0
1F91A 1F3FD,0
1F91A 1F3FE,0
1F91A 1F3FF,0
1F590 FE0F,0
1F590,0
1F590 1F3FB,0
1F590 1F3FC,0
1F590 1F3FD,0
1F590 1F3FE,0
1F590 1F3FF,0
270B,0
270B 1F3FB,0
270B 1F3FC,0
270B 1F3FD,0
270B 1F3FE,0
270B 1F3FF,0
1F596,0
1F596 1F3FB,0
1F596 1F3FC,0
1F596 1F3FD,0
1F596 1F3FE,0
1F596 1F3FF,0
1F44C,0
1F44C 1F3FB,0
1F44C 1F3FC,0
1F44C 1F3FD,0
1F44C 1F3FE,0
1F44C 1F3FF,1
1F90F,1
1F90F 1F3FB,1
1F90F 1F3FC,1
1F90F 1F3FD,1
1F90F 1F3FE,1
1F90F 1F3FF,1
270C FE0F,1
270C,1
270C 1F3FB,1
270C 1F3FC,1
270C 1F3FD,1
270C 1F3FE,1
270C 1F3FF,1
1F91E,1
1F91E 1F3FB,1
1F91E 1F3FC,1
1F91E 1F3FD,1
1F91E 1F3FE,1
1F91E 1F3FF,1
1F91F,1
1F91F 1F3FB,1
1F91F 1F3FC,1
1F91F 1F3FD,1
1F91F 1F3FE,1
1F91F 1F3FF,1
1F918,1
1F918 1F3FB,1
1F918 1F3FC,1
1F918 1F3FD,1
1F918 1F3FE,1
1F918 1F3FF,1
1F919,1
1F919 1F3FB,1
1F919 1F3FC,1
1F919 1F3FD,1
1F919 1F3FE,1
1F919 1F3FF,1
1F448,1
1F448 1F3FB,1
1F448 1F3FC,1
1F448 1F3FD,1
1F448 1F3FE,1
1F448 1F3FF,1
1F449,1
1F449 1F3FB,1
1F449 1F3FC,1
1F449 1F3FD,1
1F449 1F3FE,1
1F449 1F3FF,1
1F446,1
1F446 1F3FB,1
1F446 1F3FC,1
1F446 1F3FD,1
1F446 1F3FE,1
1F446 1F3FF,1
1F595,1
1F595 1F3FB,1
1F595 1F3FC,1
1F595 1F3FD,1
1F595 1F3FE,1
1F595 1F3FF,1
1F447,1
1F447 1F3FB,1
1F447 1F3FC,1
1F447 1F3FD,1
1F447 1F3FE,1
1F447 1F3FF,1
261D FE0F,1
261D,1
261D 1F3FB,1
261D 1F3FC,1
261D 1F3FD,1
261D 1F3FE,1
261D 1F3FF,1
1F44D,1
1F44D 1F3FB,1
1F44D 1F3FC,1
1F44D 1F3FD,1
1F44D 1F3FE,1
1F44D 1F3FF,1
1F44E,1
1F44E 1F3FB,1
1F44E 1F3FC,1
1F44E 1F3FD,1
1F44E 1F3FE,1
1F44E 1F3FF,1
270A,1
270A 1F3FB,1
270A 1F3FC,1
270A 1F3FD,1
270A 1F3FE,1
270A 1F3FF,1
1F44A,1
1F44A 1F3FB,1
1F44A 1F3FC,1
1F44A 1F3FD,1
1F44A 1F3FE,1
1F44A 1F3FF,1
1F91B,1
1F91B 1F3FB,1
1F91B 1F3FC,1
1F91B 1F3FD,1
1F91B 1F3FE,1
1F91B 1F3FF,1
1F91C,1
1F91C 1F3FB,1
1F91C 1F3FC,1
1F91C 1F3FD,1
1F91C 1F3FE,1
1F91C 1F3FF,1
1F44F,1
1F44F 1F3FB,1
1F44F 1F3FC,1
1F44F 1F3FD,1
1F44F 1F3FE,1
1F44F 1F3FF,1
1F64C,1
1F64C 1F3FB,1
1F64C 1F3FC,1
1F64C 1F3FD,1
1F64C 1F3FE,1
1F64C 1F3FF,1
1F450,1
1F450 1F3FB,1
1F450 1F3FC,1
1F450 1F3FD,1
1F450 1F3FE,1
1F450 1F3FF,1
1F932,1
1F932 1F3FB,1
1F932 1F3FC,1
1F932 1F3FD,1
1F932 1F3FE,1
1F932 1F3FF,1
1F91D,1
1F64F,1
1F64F 1F3FB,1
1F64F 1F3FC,1
1F64F 1F3FD,1
1F64F 1F3FE,1
1F64F 1F3FF,1
270D FE0F,1
270D,1
270D 1F3FB,1
270D 1F3FC,1
270D 1F3FD,1
270D 1F3FE,1
270D 1F3FF,1
1F485,1
1F485 1F3FB,1
1F485 1F3FC,1
1F485 1F3FD,1
1F485 1F3FE,1
1F485 1F3FF,1
1F933,1
1F933 1F3FB,1
1F933 1F3FC,1
1F933 1F3FD,1
1F933 1F3FE,1
1F933 1F3FF,1
1F4AA,1
1F4AA 1F3FB,1
1F4AA 1F3FC,1
1F4AA 1F3FD,1
1F4AA 1F3FE,1
1F4AA 1F3FF,1
1F9BE,1
1F9BF,1
1F9E0,1
1F9B7,1
1F9B4,1
1F440,1
1F441 FE0F,1
1F441,1
1F445,1
1F444,1
1F476,1
1F476 1F3FB,1
1F476 1F3FC,1
1F476 1F3FD,1
